IPID,TTL,SRCIP,DSTIP,SPORT,DPORT,TSEQ,WINDS
19209,48,3286339117,3390658452,33590,2323,130414065,14520
49818,44,1293791109,3390658282,50877,2323,127469478,14600
60883,47,1488758486,3390658163,40031,2323,1314277619,14600
20152,45,3135789273,3390657375,52557,2323,3878589239,14600
11577,48,1432402468,3390656920,56911,2323,4187937345,14600
35427,49,3171755861,3390657513,35423,2323,2635257046,14600
19210,48,3286339117,3390658452,33590,2323,130414065,14520
21504,48,1975991404,3390657473,26980,2323,1736281906,14600
36869,50,1337875794,3390658447,36736,2323,2378838317,4380
32528,53,2095503386,3390658165,35111,2323,4287012835,5440
34093,56,1307186675,3390656609,49734,2323,990103026,5760
39244,52,2005500284,3390658375,51429,2323,1168637755,5840
36546,52,1953105785,3390657428,49974,2323,1118803732,14600
11164,48,3357747904,3390658505,42775,2323,2328500818,14600
7032,52,1906481753,3390657707,41151,2323,2121595326,14600
51214,49,3695562921,3390658258,40480,2323,749356344,5840
60227,49,3695562921,3390658258,41331,2323,763061955,5840
1318,49,1978683628,3390656520,3433,2323,229917745,5840
24572,56,3732697288,3390658205,38320,2323,1492116552,5808
39288,51,3003390872,3390658551,51145,2323,3810633966,5840
33621,51,1982689670,3390657862,54905,2323,1654824084,14600
12418,55,1357521213,3390657882,34414,2323,3128652390,14600
59472,52,19010060,3390657790,38873,2323,189511651,14520
24597,51,1963333041,3390657887,35517,2323,3164317541,14600
43531,233,1536103764,3390656968,41360,2323,3495996090,14600
13027,50,2947959336,3390657468,60190,2323,4066066396,14520
52037,52,985392801,3390656972,57216,2323,3024554204,14600
51293,52,2106214317,3390658008,40881,2323,3893085563,5840
51344,47,1373098250,3390656969,48288,2323,1555153791,14600
8969,47,3196991736,3390656521,4337,2323,713471298,5840
45216,50,2793568262,3390657368,36705,2323,1286112659,14600
51785,51,2327385353,3390657895,59960,2323,1852896864,14600
29245,47,1320857048,3390656546,44637,2323,4111470475,14600
37121,53,840622600,3390657836,3563,2323,762117996,5840
21028,49,3695562921,3390658258,51551,2323,894943949,5840
53801,51,1891990088,3390657307,45706,2323,1113214369,14600
45692,47,3308059314,3390656661,37751,2323,2041077237,14600
15927,48,3244981538,3390656938,48269,2323,185427009,14600
19369,50,2885082755,3390657478,52325,2323,2086946478,14600
63058,49,245499614,3390657535,53486,2323,1132069861,14600
58505,49,3585782556,3390658339,38026,2323,1541772239,14600
3977,53,3026932883,3390657968,38005,2323,4000707140,5808
43988,54,3091315581,3390658470,38847,2323,2333208858,14600
25221,53,246334074,3390656751,60614,2323,2586939729,14520
33698,52,1975420386,3390658332,45427,2323,115955441,5808
15640,52,712331077,3390657787,53872,2323,1551342801,14600
54702,53,1907881829,3390657994,49859,2323,2142267905,14600
31438,45,2984457272,3390658411,38612,2323,1604524703,4380
45758,47,2818204578,3390658050,49908,2323,610862457,14600
60961,54,1849115957,3390658057,59009,2323,799344851,5840
57901,51,2974961977,3390658363,54197,2323,3434755716,14600
3237,49,2017449683,3390658115,58361,2323,2262379697,14600
55560,46,1306774641,3390658480,3926,2323,4035434344,5840
44077,54,3151376320,3390658015,43329,2323,558899111,14600
5903,46,1541884473,3390657514,33113,2323,2242628209,14600
764,53,1741622274,3390658151,38372,2323,3330225507,14600
62285,53,1896954435,3390656701,60691,2323,3958069359,5440
62777,53,1907881829,3390657994,49875,2323,3308468000,14600
18128,56,2945081988,3390658047,41547,2323,1316419646,14600
5473,52,246409644,3390658454,53446,2323,3767615048,14600
18653,52,455720651,3390657533,47445,2323,3078081488,14600
21500,49,3366034505,3390657474,40108,2323,165667496,5840
40005,50,2885067126,3390656620,56176,2323,2865615285,14600
4104,46,3065274421,3390658233,34492,2323,2796444535,14600
50795,49,3695562921,3390658258,43301,2323,1159549437,5840
30746,49,245514517,3390657832,45834,2323,2909792089,14600
33846,52,247077106,3390658359,44057,2323,3667530384,14600
34367,51,2042036409,3390658330,49417,2323,3312361041,14600
10949,49,3175521358,3390658496,34723,2323,3467688521,14600
17673,45,1433008608,3390657363,51572,2323,3744702407,5808
47392,50,245499614,3390657535,53561,2323,1573864451,14600
46518,53,1519785093,3390657466,45699,2323,1075423624,14520
2618,55,609414689,3390656578,53001,2323,342352113,14600
52833,46,1319101403,3390656734,55871,2323,3060874774,14600
22384,47,3286339117,3390658452,35126,2323,3706427784,14520
32517,45,3321451535,3390657840,42132,2323,2233009504,14600
32605,45,2967406808,3390658539,52369,2323,2971458269,14600
27783,54,608658661,3390658484,44858,2323,3881144362,5808
64393,51,84747958,3390657488,3747,2323,1300990186,5808
3647,46,3200467825,3390658375,55868,2323,493250160,14600
29000,53,3072419195,3390657317,38331,2323,816405622,5808
54219,48,2695890204,3390656912,40355,2323,1391322826,14600
33412,47,1899825324,3390656870,53805,2323,3901003631,14600
26893,47,1951038439,3390656631,46360,2323,1160261602,14600
49453,52,2054499126,3390657867,46106,2323,2943611231,14520
41557,47,1594459149,3390658537,57481,2323,2808636323,5840
35252,49,1348133728,3390658546,50557,2323,1309877943,14600
44457,51,1298868555,3390658082,45869,2323,1984332049,5840
29804,56,1314237672,3390658373,3642,2323,921151671,5840
45857,56,2945081988,3390658047,42373,2323,4164253075,14600
53694,47,1580018570,3390656922,35421,2323,257996728,4380
56946,49,1417187870,3390658205,3834,2323,575692875,5840
32474,50,712182968,3390657440,41230,2323,2429938884,5840
46898,52,3582026834,3390656901,53255,2323,2524389960,14600
48303,52,3699859051,3390657379,46771,2323,3541310188,14520
11457,52,712409551,3390657287,33331,2323,847785116,14600
55309,45,1396879345,3390656670,47735,2323,1664735444,14600
61561,49,3695562921,3390658258,34225,2323,1429499490,5840
26640,52,998113666,3390658023,44445,2323,458617707,14520
29623,49,3121218012,3390657444,52989,2323,3435270602,14600
45079,52,3582026834,3390656901,53280,2323,3594069580,14600
7235,47,3188723757,3390657406,41264,2323,94913822,14600
5433,52,3529063212,3390657456,36931,2323,4168548586,14600
31802,51,1834793018,3390657963,60316,2323,3482201894,14600
6850,52,1332773559,3390658331,4495,2323,2233679967,5808
47914,46,1532834599,3390656554,36507,2323,454566351,14600
43353,52,985381815,3390658031,42684,2323,972459408,14600
49126,52,3703485549,3390656712,38460,2323,1992310902,5808
63647,51,3527685216,3390656935,51401,2323,4276257939,14600
19763,50,3017337633,3390656961,48527,2323,693349756,14600
35069,46,1542030602,3390657740,41328,2323,260636631,4380
64402,115,1390242055,3390657768,36877,2323,2254073745,49422
51412,49,3695562921,3390658258,39745,2323,1503942433,5840
24156,53,1843478132,3390657699,3552,2323,2283461145,5760
49127,52,3703485549,3390656712,38460,2323,1992310902,5808
20397,49,3193492771,3390656652,43952,2323,1907519309,4380
23925,50,245514517,3390657832,45931,2323,3930977644,14600
50339,47,1491341231,3390657530,2259,2323,3432742878,5808
36668,47,3385328570,3390656694,44625,2323,2915337839,14600
